ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,error
IT0020,"Università degli Studi ""Magna Graecia"" di CATANZARO",public,University,No,www.unicz.it,ITF6,Calabria,Calabria,ITF63,Catanzaro,Catanzaro,"Error running testssl.sh for www.unicz.it: ../testssl.sh/testssl.sh: connect: Connection refused
../testssl.sh/testssl.sh: line 11716: /dev/tcp/193.206.112.117/443: Connection refused
../testssl.sh/testssl.sh: connect: Connection refused
../testssl.sh/testssl.sh: line 11716: /dev/tcp/193.206.112.117/443: Connection refused
[1;35mFatal error: repeated TCP connect problems, giving up[m
Consider increasing MAX_SOCKET_FAIL (currently: 2)
"
IT0043,Università degli Studi Suor Orsola Benincasa - NAPOLI,private,University,No,www.unisob.na.it,ITF3,Campania,Campania,ITF33,Napoli,Napoli,Error running testssl.sh for www.unisob.na.it: 
IT0050,Università degli Studi di PADOVA,public,University,Yes,www.unipd.it,ITH3,Veneto,Veneto,ITH36,Padova,Padova,"Error running testssl.sh for www.unipd.it: ../testssl.sh/testssl.sh: connect: Connection refused
../testssl.sh/testssl.sh: line 11716: /dev/tcp/147.162.235.155/443: Connection refused
../testssl.sh/testssl.sh: connect: Connection refused
../testssl.sh/testssl.sh: line 11716: /dev/tcp/147.162.235.155/443: Connection refused
[1;35mFatal error: repeated TCP connect problems, giving up[m
Consider increasing MAX_SOCKET_FAIL (currently: 2)
"
IT0070,"Università degli Studi di ROMA ""Tor Vergata""",public,University,Yes,www.uniroma2.it,ITI4,Lazio,Lazio,ITI43,Roma,Roma,"Error running testssl.sh for www.uniroma2.it: ../testssl.sh/testssl.sh: line 20993: read: read error: 0: Bad file descriptor
"
IT0080,Università per Stranieri di SIENA,public,University,No,www.unistrasi.it,ITI1,Toscana,Toscana,ITI19,Siena,Siena,Error running testssl.sh for www.unistrasi.it: 
IT0084,"Università Telematica ""LEONARDO da VINCI""",private,University,No,www.unidav.it,ITF1,Abruzzo,Abruzzo,ITF14,Chieti,Chieti,"Error running testssl.sh for www.unidav.it: [1;35mHTTP header was repeatedly zero.[m
"
IT0081,Università degli Studi di TERAMO,public,University,No,www.unite.it,ITF1,Abruzzo,Abruzzo,ITF12,Teramo,Teramo,"Error running testssl.sh for www.unite.it: [1;35mHTTP header was repeatedly zero due to missing X25519/X448 curves.[m
"
IT0103,Accademia delle Belle Arti di Frosinone,public,Other,No,www.accademiabellearti.fr.it,ITI4,Lazio,Lazio,ITI45,Frosinone,Frosinone,Error running testssl.sh for www.accademiabellearti.fr.it: 
IT0108,Accademia delle Belle Arti di Napoli,public,Other,No,www.abana.it,ITF3,Campania,Campania,ITF33,Napoli,Napoli,Error running testssl.sh for www.abana.it: 
IT0138,"Accademia delle Belle Arti legalmente riconosciuta di VERONA ""Cignaroli""",private,Other,No,www.accademiacignaroli.it,ITH3,Veneto,Veneto,ITH31,Verona,Verona,"Error running testssl.sh for www.accademiacignaroli.it: ../testssl.sh/testssl.sh: line 20993: read: read error: 0: Bad file descriptor
"
IT0145,"Conservatorio di BARI ""Niccolò Piccinni""",public,Other,No,www.conservatoriopiccinni.it,ITF4,Puglia,Puglia,ITF47,Bari,Bari,"Error running testssl.sh for www.conservatoriopiccinni.it: ../testssl.sh/testssl.sh: connect: Connection timed out
../testssl.sh/testssl.sh: line 11716: /dev/tcp/62.149.128.45/443: Connection timed out
[1;35mFatal error: Can't connect to ""62.149.128.45:443""
Make sure a firewall is not between you and your scanning target![m
"
IT0156,"Conservatorio di CUNEO ""G.F. Ghedini""",public,Other,No,www.conservatoriocuneo.it,ITC1,Piemonte,Piemonte,ITC16,Cuneo,Cuneo,"Error running testssl.sh for www.conservatoriocuneo.it: [1;35mHTTP header was repeatedly zero due to missing X25519/X448 curves.[m
"
IT0164,"Conservatorio di L'AQUILA ""Alfredo Casella""",public,Other,No,www.consaq.it,ITF1,Abruzzo,Abruzzo,ITF11,L’Aquila,L’Aquila,"Error running testssl.sh for www.consaq.it: [1;35mHTTP header was repeatedly zero due to missing X25519/X448 curves.[m
"
IT0175,"Conservatorio di PALERMO ""Vincenzo Bellini""",public,Other,No,www.conservatoriobellini.it,ITG1,Sicilia,Sicilia,ITG12,Palermo,Palermo,"Error running testssl.sh for www.conservatoriobellini.it: [1;35mHTTP header was repeatedly zero.[m
[1;35mHTTP header was repeatedly zero.[m
"
IT0213,"Istituto Superiore di Studi Musicali di SIENA ""Rinaldo Franci""",private,Other,No,www.istitutofranci.com,ITI1,Toscana,Toscana,ITI19,Siena,Siena,Error running testssl.sh for www.istitutofranci.com: 
